關卡,一,二
關主,,
開始時間,1410,1410
,,
,,
"第幾小隊(1,2,3,4 不要有中文)",1,4
開始佔領時間(格式: hhmm 如1330),1434,1420
紀錄(幾秒或幾分或回合),,
,,
"第幾小隊(1,2,3,4 不要有中文)",4,3
開始佔領時間(格式: hhmm 如1330),1444,1434
紀錄(幾秒或幾分或回合),,
,,
"第幾小隊(1,2,3,4 不要有中文)",2,1
開始佔領時間(格式: hhmm 如1330),1450,1446
紀錄(幾秒或幾分或回合),,
,,
"第幾小隊(1,2,3,4 不要有中文)",3,4
開始佔領時間(格式: hhmm 如1330),1459,1500
紀錄(幾秒或幾分或回合),,
,,
"第幾小隊(1,2,3,4 不要有中文)",1,3
開始佔領時間(格式: hhmm 如1330),1513,1527
紀錄(幾秒或幾分或回合),,
,,
"第幾小隊(1,2,3,4 不要有中文)",3,0
開始佔領時間(格式: hhmm 如1330),1525,0
紀錄(幾秒或幾分或回合),,
,,
,,
結束時間,1540,1530
