關卡,一,二,,,,,
關主,,,,,,,
開始時間,1043,1043,1039,1043,1043,1043,1043
,,,,,,,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",4,1,1,2,2,3,4
開始佔領時間(格式: hhmm 如1330),1050,1052,1057,1100,1048,1043,1044
紀錄(幾秒或幾分或回合),*1,,2,3,10,64,17
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",3,,,4,,1,
開始佔領時間(格式: hhmm 如1330),1104,,1108,1106,,1100,
紀錄(幾秒或幾分或回合),*7,,,5,,71,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,,
開始佔領時間(格式: hhmm 如1330),,,,,,,
紀錄(幾秒或幾分或回合),,,,,,,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,,
開始佔領時間(格式: hhmm 如1330),,,,,,,
紀錄(幾秒或幾分或回合),,,,,,,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,,
開始佔領時間(格式: hhmm 如1330),,,,,,,
紀錄(幾秒或幾分或回合),,,,,,,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,,
開始佔領時間(格式: hhmm 如1330),,,,,,,
紀錄(幾秒或幾分或回合),,,,,,,
,,,,,,,
,,,,,,,
結束時間,1105,1105,1105,1105,1105,1105,1105
